Anatomical Structures,Organ,is_watertight (T/F),number_of_tissue_blocks_registered_total_Lu_collision,number_of_datasets_with_ct_counts_for this_anatomical_structure,dataset_ids,number_of_existing_dataset_ids,existing_dataset_ids
VH_M_ninth_thoracic_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_second_lumbar_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_fifth_lumbar_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_C4_segment_of_cervical_spinal_cord,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_C6_segment_of_cervical_spinal_cord,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_fifth_thoracic_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_first_sacral_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_sixth_thoracic_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_M_third_sacral_spinal_cord_segment,VH_M_Spinal_Cord,Yes,0,0,,0,
VH_F_ampulla_of_uterine_tube_L,VH_F_Fallopian_Tube_L,Yes,0,0,,0,
VH_F_isthmus_of_fallopian_tube_L,VH_F_Fallopian_Tube_L,Yes,0,0,,0,
VH_F_fibria_of_uterine_tube_L,VH_F_Fallopian_Tube_L,Yes,0,0,,0,
VH_F_uterine_tube_infundibulum_L,VH_F_Fallopian_Tube_L,Yes,0,0,,0,
VH_F_right_ovary,VH_F_Ovary_R,Yes,0,0,,0,
VH_M_renal_papilla_R_j,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_renal_pyramid_e,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_renal_papilla_R_g,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_renal_papilla_R_f,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_renal_pyramid_j,VH_M_Kidney_R,Yes,2,4,"HBM564.GGJJ.247,HBM227.THVC.544,HBM487.CKJR.675,HBM627.RSGW.898",0,
VH_M_renal_pyramid_c,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_renal_pyramid_h,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_outer_cortex_of_kidney_R,VH_M_Kidney_R,No,9,99,"HBM727.FSWS.736,HBM257.DBNG.933,HBM674.JTXW.676,HBM545.VTQM.594,HBM929.QBMH.668,HBM348.QZFH.528,HBM847.GZGD.668,HBM658.PZGT.855,HBM874.LNRK.792,HBM276.VNKN.267,HBM786.LZQZ.242,HBM775.HGSK.536,HBM484.QDDS.752,HBM562.WTFG.364,HBM769.NLGR.528,HBM742.SLJJ.558,HBM524.DVNF.223,HBM522.LXLF.753,HBM433.XBGK.479,HBM896.WHQZ.399,HBM655.RKJR.493,HBM792.MWCJ.783,HBM428.HQPL.493,HBM592.FGDR.959,HBM534.ZLFK.677,HBM427.HSPX.458,HBM725.BRBB.566,HBM556.GXMS.552,HBM396.JHNS.692,HBM684.LRVL.722,HBM487.CKJR.675,HBM425.ZCSZ.825,HBM443.TQKQ.624,HBM427.RVVD.276,HBM537.VLPL.734,HBM669.VQFV.937,HBM227.THVC.544,HBM298.KXFW.694,HBM935.KGJC.468,HBM745.JXHV.774,HBM495.PPRW.693,HBM744.BFSJ.565,HBM497.FKCS.478,HBM623.NJQC.463,HBM422.MKWK.448,HBM464.KHSK.927,HBM955.DXVQ.765,HBM477.SGMX.842,HBM467.SPJK.587,HBM996.XRBP.649,HBM346.CSWK.388,HBM438.HQHN.532,HBM335.XXBG.857,HBM336.GKJN.639,HBM564.KDDS.745,HBM488.GXLS.689,HBM638.LBXN.866,HBM894.MNHL.259,HBM699.NGDQ.539,HBM457.KGQS.422,HBM683.FXCD.335,HBM364.JRNL.422,HBM759.FHWP.826,HBM237.KGFH.483,HBM992.XNZH.647,HBM674.JNMW.857,HBM367.THWT.587,HBM564.GGJJ.247,HBM247.GGHT.658,HBM296.PCFN.989,HBM535.XQDS.238,HBM226.QHVG.797,HBM255.FTZT.838,HBM492.SVCZ.539,HBM882.NBFK.489,HBM624.BLKG.259,HBM699.DNQV.357,HBM562.WZFC.994,HBM595.PKGV.622,HBM968.MLFJ.353,HBM433.GBLD.944,HBM948.BKQZ.698,HBM627.RSGW.898,HBM226.BZMV.852,HBM874.WGDB.764,HBM956.NKKJ.646,HBM729.QZDC.322,HBM849.GHJN.299,HBM569.VGBL.558,HBM265.TSQB.698,HBM673.WGZS.593,HBM672.VWPP.454,HBM399.KBQD.395,HBM728.XPZZ.359,HBM554.DHLV.735,HBM356.RJZJ.686,HBM455.ZPNN.623,HBM638.GFNR.793,HBM964.XZCR.478",0,
VH_M_hilum_of_kidney_R,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_renal_pyramid_f,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_renal_papilla_R_e,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_renal_pyramid_d,VH_M_Kidney_R,Yes,1,2,"HBM279.KNSW.786,HBM574.NFCS.842",0,
VH_M_renal_papilla_R_d,VH_M_Kidney_R,Yes,1,2,"HBM279.KNSW.786,HBM574.NFCS.842",0,
VH_M_renal_pyramid_g,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_renal_papilla_R_b,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_renal_column_R,VH_M_Kidney_R,No,3,24,"HBM336.GKJN.639,HBM279.KNSW.786,HBM488.GXLS.689,HBM433.GBLD.944,HBM627.RSGW.898,HBM364.JRNL.422,HBM874.WGDB.764,HBM929.QBMH.668,HBM237.KGFH.483,HBM427.RVVD.276,HBM847.GZGD.668,HBM537.VLPL.734,HBM956.NKKJ.646,HBM564.GGJJ.247,HBM247.GGHT.658,HBM786.LZQZ.242,HBM497.FKCS.478,HBM226.QHVG.797,HBM464.KHSK.927,HBM574.NFCS.842,HBM896.WHQZ.399,HBM554.DHLV.735,HBM346.CSWK.388,HBM964.XZCR.478",0,
VH_M_renal_pyramid_b,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_renal_papilla_R_a,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_renal_pyramid_i,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_kidney_capsule_R,VH_M_Kidney_R,No,0,0,,0,
VH_M_renal_papilla_R_h,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_renal_papilla_R_i,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_renal_papilla_R_c,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_renal_pyramid_a,VH_M_Kidney_R,Yes,0,0,,0,
VH_M_hilum_of_spleen,VH_M_Spleen,No,10,22,"HBM968.CJLB.479,HBM258.HQGM.626,HBM489.LMMT.845,HBM772.TKGJ.794,HBM342.FSLD.938,HBM646.FSBQ.966,HBM987.XGTH.368,HBM267.BZKT.867,HBM727.CLDW.546,HBM473.VKCM.878,HBM372.BQSR.778,HBM929.BRVT.339,HBM239.CBWR.263,HBM389.PKHL.936,HBM688.DQGM.882,HBM295.MMTQ.529,HBM543.RSRV.265,HBM863.FZKT.367,HBM825.PBVN.284,HBM772.XXCD.697,HBM548.TSMP.663,HBM376.TQFR.354",0,
VH_M_colic_surface_of_spleen,VH_M_Spleen,No,0,0,,0,
VH_M_renal_surface_of_spleen,VH_M_Spleen,Yes,9,14,"HBM687.CWVH.758,HBM794.JCHR.674,HBM239.CBWR.263,HBM772.TKGJ.794,HBM633.CLVN.674,HBM684.MFNQ.782,HBM389.PKHL.936,HBM646.FSBQ.966,HBM337.QDTN.869,HBM825.PBVN.284,HBM342.FSLD.938,HBM423.JZTB.864,HBM772.XXCD.697,HBM372.BQSR.778",0,
VH_M_diaphragmatic_surface_of_spleen,VH_M_Spleen,Yes,32,60,"HBM968.CJLB.479,HBM687.CWVH.758,HBM329.NSHR.999,HBM794.JCHR.674,HBM592.KNRW.784,HBM644.LHFR.583,HBM258.HQGM.626,HBM583.SKGC.358,HBM459.CGSD.533,HBM337.QDTN.869,HBM374.LLKS.325,HBM987.XGTH.368,HBM423.JZTB.864,HBM727.CLDW.546,HBM473.VKCM.878,HBM827.VSGK.934,HBM929.BRVT.339,HBM465.SSNC.296,HBM936.XMNF.773,HBM626.FHJD.938,HBM724.PJNC.827,HBM583.PJBG.338,HBM743.FGPZ.867,HBM878.HDGF.983,HBM684.MFNQ.782,HBM558.SRZG.629,HBM688.DQGM.882,HBM543.RSRV.265,HBM825.PBVN.284,HBM647.MFQB.496,HBM839.VWVF.894,HBM548.TSMP.663,HBM772.XXCD.697,HBM376.TQFR.354,HBM894.RZFJ.749,HBM782.HMDP.445,HBM337.FSXL.564,HBM787.DGRJ.473,HBM489.LMMT.845,HBM772.TKGJ.794,HBM992.DRDZ.999,HBM244.TJLK.223,HBM633.CLVN.674,HBM442.JGVQ.472,HBM646.FSBQ.966,HBM342.FSLD.938,HBM267.BZKT.867,HBM372.BQSR.778,HBM962.BSVN.575,HBM355.SPTT.568,HBM748.ZDKH.494,HBM436.GHWX.449,HBM432.LLCF.677,HBM239.CBWR.263,HBM389.PKHL.936,HBM337.XXDH.744,HBM295.MMTQ.529,HBM863.FZKT.367,HBM526.ZWKZ.578,HBM659.XHFH.996",0,
VH_M_gastric_surface_of_spleen,VH_M_Spleen,No,1,2,"HBM442.JGVQ.472,HBM583.SKGC.358",0,
VH_M_other_urethra,VH_M_Urethra,No,0,0,,0,
VH_M_prostatic_urethra,VH_M_Urethra,No,0,0,,0,
VH_F_diaphragmatic_surface_of_spleen,VH_F_Spleen,No,18,26,"HBM769.QPWZ.976,HBM598.KHTX.275,HBM263.TLLN.467,HBM765.HLTK.256,HBM376.FRWD.797,HBM839.JWZL.794,HBM654.KBMC.352,HBM269.XWZK.324,HBM383.TRQG.424,HBM874.GRPV.923,HBM427.SMGB.866,HBM498.TCSV.345,HBM882.DBTR.869,HBM568.NGPL.345,HBM682.TWTR.428,HBM527.QHZQ.526,HBM939.GHBT.939,HBM355.JDLK.244,HBM775.KDDL.468,HBM267.GWND.796,HBM562.NTMH.548,HBM675.FQXK.692,HBM766.XTBC.899,HBM656.GPNS.556,HBM556.KSFB.592,HBM674.KVLK.564",0,
VH_F_colic_surface_of_spleen,VH_F_Spleen,Yes,0,0,,0,
VH_F_hilum_of_spleen,VH_F_Spleen,No,3,8,"HBM562.NTMH.548,HBM568.NGPL.345,HBM769.QPWZ.976,HBM267.GWND.796,HBM263.TLLN.467,HBM775.KDDL.468,HBM427.SMGB.866,HBM498.TCSV.345",0,
VH_F_renal_surface_of_spleen,VH_F_Spleen,No,3,4,"HBM598.KHTX.275,HBM376.FRWD.797,HBM874.GRPV.923,HBM674.KVLK.564",0,
VH_F_gastric_surface_of_spleen,VH_F_Spleen,Yes,5,6,"HBM675.FQXK.692,HBM766.XTBC.899,HBM765.HLTK.256,HBM527.QHZQ.526,HBM654.KBMC.352,HBM882.DBTR.869",0,
VH_M_uncinate_process_of_the_pancreas,VH_M_Pancreas,Yes,0,0,,0,
VH_M_body_of_pancreas,VH_M_Pancreas,Yes,1,2,"HBM853.ZMMR.455,HBM683.GZRK.436",0,
VH_M_neck_of_pancreas,VH_M_Pancreas,Yes,1,2,"HBM853.ZMMR.455,HBM683.GZRK.436",0,
VH_M_head_of_pancreas,VH_M_Pancreas,No,0,0,,0,
VH_M_tail_of_pancreas,VH_M_Pancreas,Yes,0,0,,0,
VH_F_left_subclavian_artery_a,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_internal_iliac_vein_L,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_inferior_vena_cava_b,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_celiac_trunk,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_left_branch_of_portal_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_left_colic_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_left_renal_vein,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_anterior_segmental_right_hepatic_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_left_common_carotid_artery_b,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_cystic_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_anterior_cardiac_vein,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_inferior_rectal_vein_L,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_descending_aorta_b,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_inferior_ophthalmic_vein_R,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_ophthalmic_vein_L,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_superior_ophthalmic_vein_L,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_sigmoid_vein_a,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_left_uterine_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_right_colic_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_ascending_aorta,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_middle_hepatic_artery_branch_of_left_hepatic_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_middle_colic_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_right_marginal_artery,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_left_hepatic_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_pulmonary_vein_R_inf,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_descending_aorta_a,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_right_hepatic_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_central_retinal_artery_L,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_inferior_mesenteric_vein,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_ileocolic_artery,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_cystic_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_opthalmic_artery_L,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_splenic_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_right_common_iliac_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_superior_mesenteric_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_left_renal_artery,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_right_colic_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_sigmoid_vein_c,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_posterior_vein_of_left_ventricle,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_inferior_rectal_vein_R,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_middle_colic_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_right_branch_of_portal_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_proper_hepatic_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_right_coronary_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_pulmonary_vein_L_inf,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_middle_hepatic_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_ophthalmic_vein_R,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_superior_rectal_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_splenic_vein,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_oblique_vein_of_left_atrium,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_common_hepatic_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_left_posterior_descending_branch_of_circumflex_branch_of_left_coronary_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_brachiocephalic_artery_b,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_pulmonary_artery_L,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_left_hepatic_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_pulmonary_vein_L_sup,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_superior_mesenteric_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_central_retinal_vein_R,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_left_common_carotid_artery_a,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_superior_rectal_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_left_circumflex_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_internal_pudendal_vein_L,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_left_coronary_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_internal_iliac_vein_R,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_hepatic_portal_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_sigmoid_artery_c,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_small_cardiac_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_sigmoid_artery_b,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_inferior_vena_cava_a,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_left_marginal_branch,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_marginal_artery_of_Drummond,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_posterior_left_ventricular_branch,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_inferior_mesenteric_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_inferior_pancreaticoduodenal_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_left_subclavian_artery_b,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_left_colic_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_middle_rectal_vein_R,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_pulmonary_vein_R_sup,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_right_renal_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_diagonal_branch_of_left_anterior_descending_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_sigmoid_artery_a,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_sigmoid_vein_b,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_coronary_sinus,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_middle_cardiac_vein,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_left_anterior_descending_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_middle_rectal_vein_L,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_opthalmic_artery_R,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_superior_vena_cava,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_superior_ophthalmic_vein_R,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_right_renal_vein,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_median_sacral_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_brachiocephalic_artery_a,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_right_uterine_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_central_retinal_vein_L,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_inferior_ophthalmic_vein_L,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_posterior_segmental_right_hepatic_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_right_uterine_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_pulmonary_artery_R,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_internal_pudendal_vein_R,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_left_common_iliac_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_central_retinal_artery_R,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_left_marginal_vein,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_left_uterine_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_ileocolic_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_right_hepatic_artery,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_pulmonary_trunk,VH_F_Blood_Vasculature,No,0,0,,0,
VH_F_great_cardiac_vein,VH_F_Blood_Vasculature,Yes,0,0,,0,
VH_F_aortic_arch,VH_F_Blood_Vasculature,No,0,0,,0,
VH_M_ileum_terminal,VH_M_Small_Intestine,No,8,11,"HBM892.VLVC.242,HBM987.BFBR.496,HBM638.CDHV.585,HBM542.QBSZ.343,HBM958.VZLG.297,HBM668.NQKV.963,HBM655.RKDX.442,HBM899.HDCG.596,HBM385.HXJH.658,HBM254.XFHN.834,HBM372.JPKG.444",0,
VH_M_duodenum_superior,VH_M_Small_Intestine,No,0,0,,0,
VH_M_duodenal_ampulla,VH_M_Small_Intestine,No,0,0,,0,
VH_M_ileum,VH_M_Small_Intestine,No,0,0,,0,
