Name_of_organ,Name_of_colliding_AS,Volume_of_colliding_AS,Number_tissue_blocks_colliding_only_with_this_AS,Total_number_colliding_tissue_blocks,Number_of_colliding_tissue_blocks with_no_CT_info,Number of predicted CTs
VH_F_Kidney_L,VH_F_outer_cortex_of_kidney_L,142593.98889873724,3,19,16,50,"Afferent / Efferent Arteriole Endothelial,Ascending Vasa Recta Endothelial,B,Classical Dendritic,Connecting Tubule,Connecting Tubule Intercalated Type A,Connecting Tubule Principal,Cortical Collecting Duct Intercalated Type A,Cortical Collecting Duct Principal,Cortical Thick Ascending Limb,Cortical Vascular Smooth Muscle / Pericyte,Descending Thin Limb Type 1,Descending Thin Limb Type 2,Descending Vasa Recta Endothelial,Distal Convoluted Tubule Type 1,Distal Convoluted Tubule Type 2,Fibroblast,Glomerular Capillary Endothelial,Intercalated Type B,Lymphatic Endothelial,Macula Densa,Mast,Medullary Thick Ascending Limb,Mesangial,Monocyte,Monocyte-derived,Natural Killer / Natural Killer T,Neutrophil,Outer Medullary Collecting Duct Intercalated Type A,Papillary Tip Epithelial,Parietal Epithelial,Peritubular Capilary Endothelial,Plasma,Podocyte,Proximal Tubule Epithelial Segment 1,Proximal Tubule Epithelial Segment 2,Proximal Tubule Epithelial Segment 3,Renin-positive Juxtaglomerular Granular,T,Tissue-resident Macrophage,Vascular Smooth Muscle / Pericyte,Ascending Thin Limb,Descending Thin Limb Type 3,Inner Medullary Collecting Duct,M2 Macrophage,Medullary Fibroblast,Natural Killer T,Non-classical monocyte,Outer Medullary Collecting Duct Principal,Peritubular Capilary Endothelial "
VH_F_Kidney_L,VH_F_renal_pyramid_L_k,200.11055430212622,0,5,4,0,
NIH_F_Lymph_Node,Yao_blood_vasculature,494.8544710312851,0,7,7,0,
NIH_F_Lymph_Node,Yao_follicles,107.45633469123993,0,7,7,0,
NIH_F_Lymph_Node,Yao_medulla_of_lymph_node,398.91101036789166,0,7,7,0,
NIH_F_Lymph_Node,Yao_afferent_lymphatic_vessel,1.9675400095540871,0,6,6,0,
NIH_F_Lymph_Node,Yao_capsule_of_lymph_node,47.748029849844514,0,7,7,0,
NIH_F_Lymph_Node,Yao_paracortex,317.08519477832976,0,7,7,0,
NIH_F_Lymph_Node,Yao_efferent_lymph_node,34.5620887936041,0,7,7,0,
VH_F_Kidney_R,VH_F_renal_pyramid_R_a,318.10885423602656,0,7,5,0,
VH_F_Kidney_R,VH_F_renal_column_R,16061.627122804372,0,8,6,0,
VH_F_Ureter_L,VH_F_left_ureter,1129.2322445561997,2,2,0,32,"Afferent / Efferent Arteriole Endothelial,Ascending Thin Limb,Ascending Vasa Recta Endothelial,Classical Dendritic,Connecting Tubule,Connecting Tubule Intercalated Type A,Cortical Collecting Duct Principal,Cortical Vascular Smooth Muscle / Pericyte,Cycling Mononuclear Phagocyte,Descending Thin Limb Type 1,Descending Thin Limb Type 2,Descending Vasa Recta Endothelial ,Distal Convoluted Tubule Type 1,Fibroblast,Inner Medullary Collecting Duct,Intercalated Type B,Lymphatic Endothelial,M2 Macrophage,Mast,Medullary Fibroblast,Mesangial,Monocyte-derived,Non-classical monocyte,Papillary Tip Epithelial,Parietal Epithelial,Peritubular Capilary Endothelial ,Podocyte,Renin-positive Juxtaglomerular Granular,T,Vascular Smooth Muscle / Pericyte,Outer Medullary Collecting Duct Intercalated Type A,Schwann / Neural"
VH_M_Ureter_L,VH_M_ureter_L,5404.54687352167,4,4,0,33,"Afferent / Efferent Arteriole Endothelial,Connecting Tubule,Cortical Vascular Smooth Muscle / Pericyte,Descending Thin Limb Type 1,Descending Thin Limb Type 3,Fibroblast,Inner Medullary Collecting Duct,M2 Macrophage,Medullary Fibroblast,Papillary Tip Epithelial,Descending Thin Limb Type 2,Descending Vasa Recta Endothelial ,Distal Convoluted Tubule Type 1,Lymphatic Endothelial,Mast,Mesangial,Monocyte-derived,Parietal Epithelial,Peritubular Capilary Endothelial ,Plasma,Podocyte,Schwann / Neural,Vascular Smooth Muscle / Pericyte,Neutrophil,Non-classical monocyte,T,Connecting Tubule Principal,Cortical Collecting Duct Principal,Outer Medullary Collecting Duct Principal,Ascending Thin Limb,Ascending Vasa Recta Endothelial,Proximal Tubule Epithelial Segment 3,Renin-positive Juxtaglomerular Granular"
VH_M_Kidney_L,VH_M_renal_column_L,18696.6261648155,1,9,6,13,"Ascending Thin Limb,Ascending Vasa Recta Endothelial,Connecting Tubule,Cortical Collecting Duct Principal,Descending Thin Limb Type 1,Descending Thin Limb Type 3,Descending Vasa Recta Endothelial ,Distal Convoluted Tubule Type 1,Inner Medullary Collecting Duct,M2 Macrophage,Medullary Fibroblast,Medullary Thick Ascending Limb,Vascular Smooth Muscle / Pericyte"
VH_M_Kidney_L,VH_M_renal_pyramid_L_e,273.85015984322683,0,2,1,0,
VH_M_Kidney_L,VH_M_outer_cortex_of_kidney_L,128484.0639106392,6,18,11,52,"Afferent / Efferent Arteriole Endothelial,Ascending Vasa Recta Endothelial,Connecting Tubule,Connecting Tubule Intercalated Type A,Connecting Tubule Principal,Cortical Collecting Duct Intercalated Type A,Cortical Collecting Duct Principal,Cortical Thick Ascending Limb,Cortical Vascular Smooth Muscle / Pericyte,Descending Vasa Recta Endothelial,Distal Convoluted Tubule Type 1,Distal Convoluted Tubule Type 2,Fibroblast,Glomerular Capillary Endothelial,Intercalated Type B,Macula Densa,Medullary Thick Ascending Limb,Monocyte,Monocyte-derived,Natural Killer / Natural Killer T,Outer Medullary Collecting Duct Principal,Parietal Epithelial,Peritubular Capilary Endothelial,Podocyte,Proximal Tubule Epithelial Segment 1,Proximal Tubule Epithelial Segment 2,Proximal Tubule Epithelial Segment 3,T,Tissue-resident Macrophage,Vascular Smooth Muscle / Pericyte,Ascending Thin Limb,Descending Thin Limb Type 1,Descending Thin Limb Type 2,Inner Medullary Collecting Duct,M2 Macrophage,Outer Medullary Collecting Duct Intercalated Type A,Peritubular Capilary Endothelial ,B,Classical Dendritic,Cycling Mononuclear Phagocyte,Lymphatic Endothelial,Mast,Mesangial,Neutrophil,Papillary Tip Epithelial,Plasma,Plasmacytoid Dendritic,Descending Vasa Recta Endothelial ,Medullary Fibroblast,Renin-positive Juxtaglomerular Granular,Schwann / Neural,Descending Thin Limb Type 3"
VH_M_Kidney_L,VH_M_hilum_of_kidney_L,705.0258313821835,0,2,1,0,
SBU_M_Intestine_Large,VH_M_descending_colon,183372.68248655013,8,8,8,0,
SBU_F_Intestine_Large,VH_F_ascending_colon,30915.683642486736,0,4,4,0,
SBU_F_Intestine_Large,VH_F_caecum,13881.33083675243,0,4,4,0,
SBU_F_Intestine_Large,VH_F_transverse_colon,169486.0537868251,4,4,4,0,
VH_F_Spleen,VH_F_gastric_surface_of_spleen,1675.2602444210463,1,1,1,0,
VH_M_Small_Intestine,VH_M_duodenum_descending,3977.6671671893473,7,7,7,0,
VH_M_Small_Intestine,VH_M_ileum_terminal,17159.18211529032,7,7,7,0,
VH_F_Heart,VH_F_right_ventricle,71066.23334274696,2,4,4,0,
VH_F_Heart,VH_F_left_ventricle,238462.4285058858,7,9,9,0,
VH_F_Heart,VH_F_interventricular_septum,68480.63173967224,0,2,2,0,
VH_F_Kidney_R,VH_F_kidney_capsule_R,18540.25459633455,0,8,6,0,
VH_F_Kidney_R,VH_F_outer_cortex_of_kidney_R,92191.3803498897,1,11,8,0,
VH_F_Kidney_L,VH_F_renal_pyramid_L_a,839.9266587367424,1,4,2,40,"Afferent / Efferent Arteriole Endothelial,Ascending Thin Limb,Ascending Vasa Recta Endothelial,Classical Dendritic,Connecting Tubule,Connecting Tubule Principal,Cortical Collecting Duct Principal,Cortical Thick Ascending Limb,Descending Thin Limb Type 1,Descending Thin Limb Type 2,Descending Thin Limb Type 3,Descending Vasa Recta Endothelial,Distal Convoluted Tubule Type 1,Fibroblast,Inner Medullary Collecting Duct,Lymphatic Endothelial,Macula Densa,Mast,Medullary Fibroblast,Medullary Thick Ascending Limb,Monocyte,Monocyte-derived,Natural Killer / Natural Killer T,Neutrophil,Outer Medullary Collecting Duct Principal,Papillary Tip Epithelial,Peritubular Capilary Endothelial,Plasma,Renin-positive Juxtaglomerular Granular,T,Tissue-resident Macrophage,Vascular Smooth Muscle / Pericyte,Cortical Vascular Smooth Muscle / Pericyte,Descending Vasa Recta Endothelial ,Intercalated Type B,M2 Macrophage,Mesangial,Parietal Epithelial,Peritubular Capilary Endothelial ,Plasmacytoid Dendritic"
VH_M_Lung,VH_M_right_medial_bronchopulmonary_segment,12951.35016305178,1,3,3,0,
VH_M_Spleen,VH_M_renal_surface_of_spleen,1572.3901596382643,3,5,5,0,
VH_F_Spleen,VH_F_hilum_of_spleen,699.5165537405303,1,1,1,0,
VH_M_Kidney_R,VH_M_renal_pyramid_j,135.14014085214114,0,3,3,0,
VH_M_Lung,VH_M_right_lateral_bronchopulmonary_segment,7144.127186457843,1,1,1,0,
VH_F_Thymus,VH_F_thymus_lobe_L,38841.76673994403,2,4,4,0,
VH_F_Kidney_L,VH_F_kidney_capsule_L,26070.19793912157,0,11,11,0,
VH_M_Kidney_R,VH_M_renal_column_R,14020.0077737022,0,9,7,0,
VH_M_Skin,VH_M_skin,2154552.8234888604,13,13,8,4,"CD68 
/ Macrophage,T-Killer,T-reg,T-helper"
VH_F_Kidney_L,VH_F_renal_pyramid_L_j,218.49223678861702,0,3,2,0,
VH_M_Small_Intestine,VH_M_duodenum_horizonal,3490.860082647111,0,7,7,0,
VH_M_Small_Intestine,VH_M_duodenum_ascending,7091.828266705528,0,7,7,0,
VH_M_Lung,VH_M_bronchial_cartilage,116431.96434143004,0,11,11,0,
VH_M_Lung,VH_M_right_lateral_bronchus,138.2289816979296,0,1,1,0,
VH_M_Knee_R,VH_M_meniscus_R,6328.93119706108,0,7,7,0,
VH_M_Knee_R,VH_M_tibia_R,440107.2771067363,0,6,6,0,
VH_M_Knee_R,VH_M_distal_most_point_of_medial_condyle_of_femur_R,94.59704818959018,0,6,6,0,
VH_M_Knee_R,VH_M_articular_cartilage_of_knee_R,1072.7165409565278,0,7,7,0,
VH_F_Knee_R,VH_F_articular_cartilage_of_knee_R,691.7719698238806,0,3,3,0,
VH_F_Knee_R,VH_F_medial_condyle_of_right_femur_inf,172.26340004577776,0,2,2,0,
VH_F_Knee_R,VH_F_meniscus_R,7278.030677330492,0,3,3,0,
VH_F_Knee_R,VH_F_distal_most_point_of_medial_condyle_R,106.24047853758492,0,3,3,0,
VH_M_Kidney_L,VH_M_renal_pyramid_L_i,241.4018752539149,0,3,3,0,
VH_M_Kidney_L,VH_M_kidney_capsule_L,16600.063033424205,0,7,6,0,
VH_F_Kidney_R,VH_F_renal_pyramid_R_c,250.40390068389206,0,2,2,0,
VH_M_Spleen,VH_M_gastric_surface_of_spleen,2462.716133584892,0,1,1,0,
VH_M_Heart,VH_M_left_cardiac_atrium,34936.90174682013,0,1,1,0,
VH_F_Pancreas,VH_F_head_of_pancreas,1632.3900827451282,0,2,2,0,
VH_F_Pancreas,VH_F_neck_of_pancreas,469.9564835859717,0,2,2,0,
VH_M_Kidney_L,VH_M_renal_papilla_L_i,1.7119725303435005,0,3,3,0,
VH_M_Kidney_L,VH_M_renal_pyramid_L_g,201.56346360059868,0,2,2,0,
VH_F_Skin,VH_F_skin,1888365.4681602765,6,6,3,4,"CD68 
/ Macrophage,T-Killer,T-reg,T-helper"
VH_F_Spleen,VH_F_diaphragmatic_surface_of_spleen,6550.254370769862,3,3,3,0,
VH_M_Lung,VH_M_right_medial_bronchus,302.5731217662715,0,2,2,0,
VH_M_Knee_L,VH_M_articular_cartilage_of_knee_L,1067.8101552963628,0,2,2,0,
VH_M_Knee_L,VH_M_meniscus_L,6325.70772598167,0,2,2,0,
VH_M_Knee_L,VH_M_tibia_L,440565.38173409016,0,2,2,0,
VH_M_Knee_L,VH_M_distal_most_point_of_medial_condyle_of_femur_L,94.57957899890353,0,2,2,0,
VH_F_Kidney_R,VH_F_renal_pyramid_R_i,150.03590111672364,1,1,0,0,
VH_F_Kidney_L,VH_F_renal_pyramid_L_h,110.1921551190841,0,3,2,0,
VH_M_Knee_R,VH_M_lateral_condyle_of_femur_inf_R,215.595027102572,0,1,1,0,
VH_M_Knee_R,VH_M_lateral_condyle_of_femur_frontal_R,110.0946049587776,0,1,1,0,
VH_F_Kidney_R,VH_F_renal_pyramid_R_b,107.43332976842598,0,1,1,0,
VH_M_Liver,VH_M_left_anterolateral_segment,3463.1779508284812,0,1,1,0,
VH_M_Liver,VH_M_liver_capsule,196689.65282355342,0,1,1,0,
VH_M_Pancreas,VH_M_body_of_pancreas,2960.829194648035,0,2,2,0,
VH_M_Pancreas,VH_M_neck_of_pancreas,251.19786196073065,0,2,2,0,
VH_F_Kidney_R,VH_F_renal_pyramid_R_e,270.2416649993784,0,1,1,0,
VH_F_Kidney_R,VH_F_hilum_of_kidney_R,1729.5933963802868,0,1,1,0,
VH_M_Kidney_R,VH_M_renal_pyramid_d,153.33145412837618,0,2,1,0,
VH_M_Kidney_R,VH_M_renal_papilla_R_d,1.0100559554065527,0,1,0,0,
VH_M_Kidney_L,VH_M_renal_pyramid_L_a,632.8882997381107,0,5,2,0,
VH_M_Kidney_L,VH_M_renal_papilla_L_g,1.0678160347478742,0,1,1,0,
VH_F_Kidney_L,VH_F_renal_pyramid_L_i,248.51962690504843,0,2,2,0,
VH_F_Kidney_L,VH_F_renal_pyramid_L_c,76.63435027939454,0,1,1,0,
VH_M_Kidney_R,VH_M_renal_pyramid_i,106.60964408786671,0,2,2,0,
VH_M_Kidney_R,VH_M_renal_pyramid_a,493.61738023914256,0,3,3,0,
VH_M_Kidney_R,VH_M_renal_papilla_R_j,0.9891577421194249,0,1,1,0,
VH_M_Kidney_R,VH_M_hilum_of_kidney_R,1791.8679713319273,0,1,1,0,
VH_M_Kidney_R,VH_M_renal_papilla_R_i,1.4399919611085328,0,1,1,0,
VH_M_Kidney_L,VH_M_renal_papilla_L_h,0.8274558028240256,0,2,1,0,
VH_M_Kidney_L,VH_M_renal_pyramid_L_h,143.49689813195135,0,1,1,0,
VH_M_Kidney_R,VH_M_renal_pyramid_c,83.86426771534602,0,2,2,0,
VH_M_Kidney_R,VH_M_renal_pyramid_b,77.43922840934306,0,4,4,0,
VH_M_Lung,VH_M_left_anterior_bronchus,3969.9841056817645,0,3,3,0,
VH_M_Lung,VH_M_left_lingular_bronchus,55.40434880144281,0,2,2,0,
VH_M_Lung,VH_M_left_anterior_basal_bronchopulmonary_segment,5827.915430948061,0,1,1,0,
VH_M_Lung,VH_M_left_medial_basal_bronchopulmonary_segment,5356.681805443422,0,1,1,0,
VH_M_Lung,VH_M_left_lingula_inferior_bronchopulmonary_segment,12077.79379435441,0,1,1,0,
VH_M_Lung,VH_M_hilum_upper_L,1514.0296637706178,0,2,2,0,
VH_M_Lung,VH_M_hilum_L,4265.819941834744,0,2,2,0,
VH_M_Lung,VH_M_left_apical_bronchus,1081.017862008098,0,4,4,0,
VH_M_Lung,VH_M_left_lingula_inferior_bronchus,263.0475449363941,0,1,1,0,
VH_M_Lung,VH_M_left_lingula_superior_bronchus,140.24626916618013,0,1,1,0,
VH_M_Lung,VH_M_left_anterior_bronchopulmonary_segment,12898.503975815607,1,1,1,0,
VH_M_Lung,VH_M_left_apical_bronchopulmonary_segment,4377.180059292455,1,2,2,0,
VH_M_Lung,VH_M_left_posterior_bronchopulmonary_segment,6246.238872825868,1,1,1,0,
VH_M_Kidney_R,VH_M_renal_papilla_R_b,0.41209134851207113,0,1,1,0,
VH_F_Kidney_L,VH_F_renal_pyramid_L_g,585.1759419142677,0,1,1,0,
VH_M_Kidney_L,VH_M_renal_pyramid_L_f,321.4622370793529,0,1,1,0,
VH_F_Heart,VH_F_right_cardiac_atrium,38293.329199393454,2,2,2,0,
VH_M_Lung,VH_M_right_main_bronchus,96.31608358957891,0,1,1,0,
VH_F_Heart,VH_F_left_cardiac_atrium,19839.182342803088,1,1,1,0,
VH_M_Urinary_Bladder,VH_M_fundus_of_urinary_bladder_dome,3655.4413555744222,1,1,1,0,
VH_F_Knee_R,VH_F_tibia_R,319924.59851297474,0,1,1,0,
VH_F_Urinary_Bladder,VH_F_fundus_of_urinary_bladder_base,4652.804983034633,2,2,2,0,
VH_M_Lung,VH_M_right_anterior_bronchopulmonary_segment,16003.896144538743,2,2,2,0,
VH_M_Lung,VH_M_right_apical_bronchus,1422.8400305790672,0,1,1,0,
